چت (Chat)
گروه (Group)
کانال (Channel)
ادمین (Admin)
مدیر (Manager)
کاربر (User)
عضو (Member)
آنالیز (Analysis)
داده (Data)
اطلاعات (Information)
پروژه (Project)
تیم (Team)
جلسه (Meeting)
کنفرانس (Conference)
سمینار (Seminar)
ورکشاپ (Workshop)
استراتژی (Strategy)
تاکتیک (Tactic)
هدف (Goal)
تارگت (Target)
برند (Brand)
مارکتینگ (Marketing)
تبلیغات (Advertisement)
فروش (Sales)
خرید (Purchase)
قیمت (Price)
تخفیف (Discount)
کد (Code)
لینک (Link)
سرور (Server)
هاست (Host)
دامین (Domain)
پلتفرم (Platform)
شبکه (Network)
پروتکل (Protocol)
امنیت (Security)
ویروس (Virus)
اسپم (Spam)
هکر (Hacker)
فایروال (Firewall)
